7,6,31168676,10,Drug-induced Stevens-Johnson syndrome or toxic epidermal necrolysis (SJS/TEN),intron_variant,0.0
11,3,141383991,10,Prostate cancer,intron_variant,0.0
13,5,1279913,10,Prostate cancer,intron_variant,0.0
14,5,44365443,10,Prostate cancer,intron_variant,0.0
15,6,31150734,10,Prostate cancer,missense_variant,0.0
18,11,2822986,10,Type 2 diabetes,intron_variant,0.0
24,22,37066896,10,Hepcidin levels,missense_variant,0.0
25,22,37066896,10,Hepcidin levels,missense_variant,0.0
26,22,37066896,10,Hepcidin levels,missense_variant,0.0
27,3,133765185,10,Hepcidin levels,intron_variant,0.0
28,16,82628663,10,Adiponectin levels,intron_variant,0.0
29,1,158962765,10,Asthma,intron_variant,0.0
30,2,102337157,10,Asthma,5_prime_UTR_variant,0.0
33,17,39908152,10,Asthma,intron_variant,0.0
36,11,124146786,10,Aging (time to death),3_prime_UTR_variant,0.0
38,12,51310050,10,Aging (time to death),intron_variant,0.0
40,4,143436584,10,Asthma,intron_variant,0.0
42,6,32187804,10,Asthma,intron_variant,0.0
43,6,32216568,10,Asthma,non_coding_transcript_exon_variant,0.0
44,6,32370918,10,Asthma,intron_variant,0.0
45,6,32390736,10,Asthma,non_coding_transcript_exon_variant,0.0
51,12,55970537,10,Asthma,intron_variant,0.0
53,6,10994782,10,Plasma omega-3 polyunsaturated fatty acid levels (docosahexaenoic acid),intron_variant,0.0
54,6,10968908,10,Plasma omega-3 polyunsaturated fatty acid levels (docosahexaenoic acid),intron_variant,0.0
55,6,11074114,10,Plasma omega-3 polyunsaturated fatty acid levels (docosahexaenoic acid),intron_variant,0.0
56,8,117013406,10,Asthma,intron_variant,0.0
58,19,3927773,10,Aging (time to event),3_prime_UTR_variant,0.0
62,12,13962548,10,Aging (time to event),intron_variant,0.0
65,1,43750157,10,Aging (time to event),intron_variant,0.0
66,19,42016956,10,Bipolar disorder,intron_variant,0.0
69,8,6465757,10,Epirubicin-induced leukopenia,intron_variant,0.0
70,4,112406922,10,Epirubicin-induced leukopenia,intron_variant,0.0
71,10,21541175,10,Meningioma,intron_variant,0.0
72,6,31150242,10,Nevirapine-induced rash,intron_variant,0.0
