2,6,32441753,10,[ 7  1  0  8 21  5  2  3 11 65],"[0.11328269 0.11149748 0.08087866 0.07007339 0.06680627 0.06523642
 0.05274509 0.05034444 0.02023402 0.01499222]",Systemic sclerosis,intron_variant,0.0
3,6,33075103,10,[180 175 174 176 178 181 163 156 152 153],"[0.17119542 0.1259751  0.11103297 0.03144724 0.02862364 0.02758233
 0.02616369 0.0238551  0.02279807 0.02164497]",Systemic sclerosis,intron_variant,0.0
6,6,31125810,10,[  0  25   5   8  39  20 129  16  64 145],"[0.37018713 0.06244947 0.05597641 0.05212154 0.03477955 0.01772594
 0.01579777 0.01366582 0.01196695 0.01003899]",Drug-induced Stevens-Johnson syndrome or toxic epidermal necrolysis (SJS/TEN),5_prime_UTR_variant,0.0
20,6,26092913,10,[  0 135  17  13   1  23  60  20  15   3],"[0.08444188 0.07176824 0.06359578 0.05624773 0.05175802 0.04198276
 0.04195536 0.03250429 0.02872745 0.02828516]",Hepcidin levels,missense_variant,0.0
21,6,26092913,10,[  0 135  17  13   1  23  60  20  15   3],"[0.08444188 0.07176824 0.06359578 0.05624773 0.05175802 0.04198276
 0.04195536 0.03250429 0.02872745 0.02828516]",Hepcidin levels,missense_variant,0.0
22,6,26092913,10,[  0 135  17  13   1  23  60  20  15   3],"[0.08444188 0.07176824 0.06359578 0.05624773 0.05175802 0.04198276
 0.04195536 0.03250429 0.02872745 0.02828516]",Hepcidin levels,missense_variant,0.0
23,6,26092913,10,[  0 135  17  13   1  23  60  20  15   3],"[0.08444188 0.07176824 0.06359578 0.05624773 0.05175802 0.04198276
 0.04195536 0.03250429 0.02872745 0.02828516]",Hepcidin levels,missense_variant,0.0
52,12,56018703,10,[ 1  3  2 38  5 43 90 13 36 75],"[0.36578157 0.26514368 0.1918209  0.0124727  0.01160344 0.01029401
 0.00997605 0.00848205 0.00788315 0.0061566 ]",Asthma,intron_variant,0.0
57,6,33075103,10,[180 175 174 176 178 181 163 156 152 153],"[0.17119542 0.1259751  0.11103297 0.03144724 0.02862364 0.02758233
 0.02616369 0.0238551  0.02279807 0.02164497]",Asthma,intron_variant,0.0
64,2,237362251,10,[161  44 179  63  76  12   2  98 191  75],"[0.17266973 0.12240235 0.11428374 0.08629879 0.05605992 0.04730438
 0.04024032 0.031659   0.02466456 0.02097897]",Aging (time to event),intron_variant,0.0
